,Mkt-RF,SMB,HML,RF
20070103,-0.04,0.01,0.17,0.022
20070104,0.16,0.22,-0.5,0.022
20070105,-0.73,-0.93,-0.28,0.022
20070108,0.24,-0.07,0.05,0.022
20070109,0,0.3,-0.3,0.022
20070110,0.23,-0.09,-0.19,0.022
20070111,0.74,0.6,-0.35,0.022
20070112,0.5,0.22,-0.29,0.022
20070116,0,-0.27,0,0.022
20070117,-0.14,-0.23,-0.04,0.022
20070118,-0.48,-1.03,0.42,0.022
20070119,0.33,0.39,0.08,0.022
20070122,-0.55,-0.49,0.3,0.022
20070123,0.37,0.58,0.04,0.022
20070124,0.84,0.28,-0.23,0.022
20070125,-1.15,-0.05,-0.09,0.022
20070126,-0.06,0.54,0.11,0.022
20070129,0.02,0.59,0.24,0.022
20070130,0.52,0,0.17,0.022
20070131,0.64,-0.4,0.02,0.022
20070201,0.59,0.32,-0.2,0.02
20070202,0.15,0.08,0.22,0.02
20070205,-0.12,-0.25,0.11,0.02
20070206,0.1,0.26,0.22,0.02
20070207,0.21,0.38,0.07,0.02
20070208,-0.1,0.24,-0.25,0.02
20070209,-0.76,-0.37,0.19,0.02
20070212,-0.35,0.21,0.11,0.02
20070213,0.72,-0.18,0.31,0.02
20070214,0.73,-0.49,-0.19,0.02
20070215,0.11,0.15,-0.41,0.02
20070216,0,0.26,0.06,0.02
20070220,0.42,0.62,-0.13,0.02
20070221,-0.09,0.31,-0.23,0.02
20070222,-0.06,0.37,-0.13,0.02
20070223,-0.31,0.15,-0.28,0.02
20070226,-0.19,-0.13,0.05,0.02
20070227,-3.43,-0.2,0.18,0.02
20070228,0.47,-0.51,0.2,0.02
20070301,-0.25,-0.1,0.14,0.019
20070302,-1.24,-0.63,0.25,0.019
20070305,-1.11,-0.69,-0.31,0.019
20070306,1.58,0.64,-0.01,0.019
20070307,-0.21,-0.1,0.08,0.019
20070308,0.68,-0.03,-0.06,0.019
20070309,0.09,0.28,0.16,0.019
20070312,0.28,0.29,-0.21,0.019
20070313,-2.03,-0.21,-0.26,0.019
20070314,0.57,0.1,-0.05,0.019
20070315,0.44,0.49,0.17,0.019
20070316,-0.42,-0.09,-0.19,0.019
20070319,1.08,-0.1,-0.1,0.019
20070320,0.67,0.03,0.11,0.019
20070321,1.64,-0.12,-0.11,0.019
20070322,-0.02,0.23,-0.42,0.019
20070323,0.08,0.08,0.08,0.019
20070326,0.06,-0.04,-0.17,0.019
20070327,-0.61,-0.2,-0.05,0.019
20070328,-0.74,0.22,0.02,0.019
20070329,0.29,-0.2,0.11,0.019
20070330,-0.07,0.31,-0.1,0.019
20070402,0.22,0.08,-0.21,0.022
20070403,0.93,0.05,-0.07,0.022
20070404,0.09,-0.18,-0.26,0.022
20070405,0.31,0.03,-0.15,0.022
20070409,0.05,-0.24,0.02,0.022
20070410,0.22,0.08,0.03,0.022
20070411,-0.64,-0.12,0.14,0.022
20070412,0.61,0.23,-0.15,0.022
20070413,0.34,0.23,-0.05,0.022
20070416,1.06,0.28,0.06,0.022
20070417,0.09,-0.43,-0.07,0.022
20070418,0,-0.74,0.55,0.022
20070419,-0.23,-0.37,-0.08,0.022
20070420,0.89,0.23,-0.03,0.022
20070423,-0.24,0.08,-0.33,0.022
20070424,-0.1,-0.06,-0.24,0.022
20070425,0.91,-0.39,0.19,0.022
20070426,-0.02,0.31,-0.28,0.022
20070427,-0.13,-0.3,-0.41,0.022
20070430,-0.93,-0.88,-0.03,0.022
20070501,0.22,-0.05,-0.03,0.018
20070502,0.79,0.62,0.03,0.018
20070503,0.37,-0.34,0.15,0.018
20070504,0.25,0.17,0.02,0.018
20070507,0.18,-0.37,0.28,0.018
20070508,-0.13,-0.03,-0.12,0.018
20070509,0.35,0.08,-0.03,0.018
20070510,-1.42,-0.51,0.25,0.018
20070511,0.95,0.2,0.03,0.018
20070514,-0.28,-0.58,-0.02,0.018
20070515,-0.27,-0.75,0.16,0.018
20070516,0.82,-0.21,0.04,0.018
20070517,-0.1,-0.35,-0.02,0.018
20070518,0.66,0.41,-0.49,0.018
20070521,0.31,0.89,-0.19,0.018
20070522,0.08,0.7,0.03,0.018
20070523,-0.18,-0.2,-0.15,0.018
20070524,-1.07,-0.39,-0.07,0.018
20070525,0.55,0.22,-0.06,0.018
20070529,0.24,0.6,-0.03,0.018
20070530,0.77,-0.22,-0.06,0.018
20070531,0.13,0.36,-0.31,0.018
20070601,0.44,0.29,0.09,0.019
20070604,0.18,0.07,-0.01,0.019
20070605,-0.55,-0.12,-0.21,0.019
20070606,-0.92,0.11,0.03,0.019
20070607,-1.75,-0.04,0.12,0.019
20070608,1.07,-0.03,-0.05,0.019
20070611,0.08,-0.32,0.16,0.019
20070612,-1.06,-0.18,-0.09,0.019
20070613,1.37,-0.19,-0.18,0.019
20070614,0.5,0.13,-0.13,0.019
20070615,0.69,0.5,0.01,0.019
20070618,-0.13,-0.01,-0.02,0.019
20070619,0.14,0.01,0.11,0.019
20070620,-1.29,0.07,-0.17,0.019
20070621,0.56,-0.19,-0.02,0.019
20070622,-1.25,0.59,-0.01,0.019
20070625,-0.39,-0.39,-0.1,0.019
20070626,-0.35,0.17,-0.24,0.019
20070627,0.92,0.48,-0.36,0.019
20070628,0.03,0.18,0.06,0.019
20070629,-0.19,-0.33,-0.06,0.019
20070702,1.06,-0.08,0.11,0.019
20070703,0.36,-0.04,-0.12,0.019
20070705,0.07,0.2,-0.58,0.019
20070706,0.4,-0.07,-0.06,0.019
20070709,0.1,0.07,-0.09,0.019
20070710,-1.43,-0.17,-0.39,0.019
20070711,0.55,-0.3,-0.08,0.019
20070712,1.78,-0.18,-0.26,0.019
20070713,0.28,-0.31,0.04,0.019
20070716,-0.31,-0.44,-0.33,0.019
20070717,0.02,0.15,-0.2,0.019
20070718,-0.25,-0.22,-0.27,0.019
20070719,0.44,0.33,-0.46,0.019
20070720,-1.25,-0.27,-0.21,0.019
20070723,0.36,-0.41,-0.49,0.019
20070724,-2.04,-0.53,-0.29,0.019
20070725,0.3,-0.42,0.06,0.019
20070726,-2.36,-0.08,-0.21,0.019
20070727,-1.51,-0.1,0.09,0.019
20070730,0.93,-0.26,-0.08,0.019
20070731,-1.19,0.37,-0.1,0.019
20070801,0.51,-0.5,-0.3,0.018
20070802,0.55,0.16,-0.3,0.018
20070803,-2.66,-0.67,-0.8,0.018
20070806,2.07,-1.13,-0.38,0.018
20070807,0.65,0.33,-0.61,0.018
20070808,1.47,1.16,-0.68,0.018
20070809,-2.74,1.67,-0.6,0.018
20070810,0.03,-0.03,1.43,0.018
20070813,-0.06,-1.17,0.21,0.018
20070814,-1.83,-0.06,-0.15,0.018
20070815,-1.46,0.04,0.02,0.018
20070816,0.31,1.22,1.39,0.018
20070817,2.36,-0.41,0.42,0.018
20070820,0,0.14,-0.33,0.018
20070821,0.15,-0.02,0.01,0.018
20070822,1.2,0.05,-0.03,0.018
20070823,-0.23,-0.98,0.19,0.018
20070824,1.21,0.12,-0.28,0.018
20070827,-0.85,-0.11,-0.15,0.018
20070828,-2.33,-0.07,-0.4,0.018
20070829,2.13,0.12,0.01,0.018
20070830,-0.43,-0.02,-0.47,0.018
20070831,1.12,0.07,-0.04,0.018
20070904,1.03,-0.2,-0.01,0.017
20070905,-1.05,0,-0.36,0.017
20070906,0.42,-0.01,-0.2,0.017
20070907,-1.7,-0.31,0.24,0.017
20070910,-0.27,-0.5,-0.21,0.017
20070911,1.35,0.04,-0.32,0.017
20070912,-0.03,-0.46,-0.19,0.017
20070913,0.69,-0.64,0.23,0.017
20070914,0.1,0.38,-0.1,0.017
20070917,-0.6,-0.42,0,0.017
20070918,2.88,0.61,0.43,0.017
20070919,0.59,0.59,0.2,0.017
20070920,-0.65,-0.12,-0.33,0.017
20070921,0.43,-0.21,-0.28,0.017
20070924,-0.56,-0.38,-0.62,0.017
20070925,-0.03,-0.3,-0.38,0.017
20070926,0.6,0.19,-0.19,0.017
20070927,0.43,0.18,-0.07,0.017
20070928,-0.37,-0.56,0,0.017
20071001,1.37,0.81,0.06,0.014
20071002,0.11,0.68,0.21,0.014
20071003,-0.48,-0.23,-0.1,0.014
20071004,0.18,-0.05,0.05,0.014
20071005,1.1,0.64,-0.07,0.014
20071008,-0.27,-0.2,-0.34,0.014
20071009,0.78,-0.2,-0.22,0.014
20071010,-0.13,0,-0.45,0.014
20071011,-0.58,-0.64,0.47,0.014
20071012,0.51,0.14,-0.32,0.014
20071015,-0.89,-0.43,-0.2,0.014
20071016,-0.67,-0.03,-0.31,0.014
