"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
20070103,72007.1345,271480.1013,293537.5344,117338.1,168396.4909,432245.7065,239488.3904,391398.6163,166752.7997,61904.6437,120656.9835,90740.163,189562.5944,218779.7472,187569.884,198189.6073,92986.7528,85611.22,30034.5566,112225.041,83818.5808,154713.3698,42379.735,16657.24395,79789.8608,71913.4061,95567.5382,87929.6069,15941.4002,14185.5928,110416.0717,26608.7349,204511.4086,192517.1869,181314.632,63581.7868,48790.0634,49111.1879,72720.1468,25398.8369,143156.0005,70741.2388,146522.8402,113861.6047,39295.4067,51882.2886,70811.5911,29038.069,54256.1582,39786.6891,31548.8995,70510.2305,29840.6082,28077.7749,102991.3467,45107.18816,38465.585,75162.2788,23900.2828,63039.3117,60515.0712,21303.6659,24025.964,59125.4992,36824.5932,80483.5575,13012.5417,45728.0463,16630.4651,57628.0101
20070104,73605.3836,270546.5046,293046.0114,122066.22,172829.5756,424138.5478,241015.2243,389130.834,167169.0746,64697.4587,120859.5414,91621.1354,190211.5345,215962.8406,185906.0624,199148.2532,92120.4454,85915.401,29391.0308,108736.0091,82798.1452,153209.1818,43181.0325,16764.71004,83207.7598,70116.1622,97933.9311,89486.2363,16023.7847,14544.4826,111029.1699,26638.9292,202958.719,194923.6518,183703.9359,63634.5226,49003.2535,49463.3318,72190.0463,25530.6078,147953.4823,71299.7223,148089.4461,113908.4807,38487.9668,52491.9743,71269.5698,29516.289,53848.0312,39682.6036,31512.1435,70794.8967,29780.4608,27594.2374,103697.4417,44794.4548,38293.6504,76589.7021,24456.6293,63099.5308,61240.2851,21616.5169,24076.175,59249.9739,36808.263,80612.3828,13650.9539,46001.7303,16772.0583,57399.7366
20070105,73081.2266,269121.5412,291374.8332,121662.6,172890.3028,427171.4417,239084.2285,387172.2947,165781.4915,63937.2842,120184.3484,91413.8478,189634.6989,212582.5526,185048.1544,197522.7233,92213.0986,84814.056,29159.7637,110957.7983,81206.2657,153797.7771,42676.5118,17104.07664,83406.0679,69997.9225,96175.419,88727.8784,15805.4658,14393.3711,109131.4849,26525.7005,201215.9041,193155.0451,182655.9956,62878.6429,48409.3669,49188.4878,71238.275,25670.6143,149156.6797,70720.5542,146748.793,113111.5901,38227.231,51488.943,70784.6511,29525.4855,53848.0312,39175.1867,31512.1435,70494.4157,29637.6109,27827.8566,103369.0254,44196.5822,37930.6774,76589.7021,24158.1019,62908.8371,61424.4664,21445.1937,23523.854,58887.8656,36457.1638,79603.2519,13640.1562,45461.9645,16775.4296,57009.4626
20070108,73442.1216,270497.3679,294225.6666,121143.66,173861.9378,423730.2736,240027.273,387069.2137,166336.5248,63226.6863,119846.752,92553.9298,188625.2366,211643.5838,185958.0568,195897.1934,94381.1835,85328.017,29119.5434,112406.0757,80594.0043,155759.7615,42884.2556,17296.38438,82741.1524,69371.2519,96153.7089,89286.6685,15447.0932,14601.1494,107467.3612,26427.569,201659.5297,192836.116,184395.5765,62667.6998,48272.3162,49257.1988,71912.9483,25818.8566,148051.4526,71361.776,148978.1937,113838.1668,38126.301,51331.6047,71821.8382,29534.6821,54058.2785,39220.7241,31622.4115,70328.3604,29757.9056,27463.8452,103598.9168,44214.97828,37720.5351,76865.9776,24257.611,63420.699,61815.8517,21340.9101,23561.5122,58616.2844,36677.6214,79850.1669,13642.8557,45461.9645,16863.0826,57134.6448
20070109,79542.9647,268138.8078,294520.5804,121258.98,172890.3028,420464.0802,240251.8074,387069.2137,165642.7332,62532.6139,120150.5888,92346.6422,188697.341,212457.3568,185334.1237,197522.7233,94543.3266,85128.726,28868.1661,109460.1478,80247.0562,153972.1757,42795.2226,17403.85047,83137.7687,68803.7011,95263.5978,88807.7056,15562.4315,14714.483,107905.2885,26314.3404,201152.529,192111.2772,184688.9998,62632.5426,48531.1898,50038.7865,71455.1343,25538.8435,148639.2742,71258.3531,150740.6253,113931.9186,36721.6921,51547.9448,70959.7606,29893.347,54157.2184,39435.4005,31295.6915,69585.0654,29630.0924,27284.0309,104025.858,44500.11752,37625.0159,77541.3176,24438.5367,62698.0704,61988.5217,20428.4279,23448.5375,58650.232,36938.9046,79528.1038,14271.8199,44929.8011,16687.7766,57200.9178
20070110,83349.5471,265976.7943,291571.4424,124084.32,174165.5738,414048.3431,240611.0624,387172.2947,166856.8684,63705.9267,119779.2327,92087.5326,188913.6544,213020.7381,185568.0986,197064.2405,96410.2886,85558.775,28516.2379,106201.5236,81185.857,151312.5968,43522.3259,17313.35271,82869.4695,67432.1202,95784.6385,88967.3599,15302.9203,14601.1494,107292.1902,26231.306,203560.7823,191792.3481,186931.5921,62597.3854,49444.8614,50081.7308,71406.9433,25794.1495,149851.6564,71341.0914,148963.1302,114095.9843,36275.918,51528.2775,71161.8101,29746.2024,54738.4902,39240.2401,30915.8795,70589.3044,29787.9792,27093.8036,105339.5232,44389.74104,37682.3275,77341.7853,24610.4161,62918.8736,62402.9296,20577.4046,23348.1155,58457.862,36710.2818,79045.0092,14136.849,45621.6136,16613.6087,57326.1
20070111,82318.4187,266173.341,301795.1208,126390.72,174226.3009,413990.0182,239174.0423,390883.2112,167585.3496,65242.8012,119981.7905,90118.3001,190788.37,215900.2427,185334.1237,198398.0086,98156.8015,86397.895,28425.7421,101741.4875,81798.1183,149743.0093,43077.1606,17454.75546,83884.3405,66829.0976,96088.5789,90284.5079,15405.901,14676.7052,108343.2158,27031.4552,204828.2841,193473.9741,187371.727,62421.5994,50328.0773,51370.0621,71623.8026,25950.6275,152992.8283,72375.3201,148601.6057,114236.6121,36233.8639,52196.9651,73343.944,30458.9341,55047.6773,39032.0691,31034.3155,70249.2865,30073.6792,27175.3296,106653.1883,44996.81168,38236.3389,77280.3908,25022.022,63932.561,62103.635,20856.7358,23410.8792,59102.8674,37322.6642,79066.4801,14239.4269,46837.9872,17004.6758,57915.1929
20070112,81304.4758,267205.211,306808.6554,127601.58,175623.0263,423788.5985,239712.9248,390573.9682,166475.2831,65474.1587,119880.5116,90688.3411,192086.2501,217402.5928,184762.1851,199981.8582,99134.2927,86911.856,29280.4248,105049.4848,81859.3445,153361.7806,43121.6771,17392.53825,85470.8056,68448.9819,97239.2103,90723.5572,15735.4389,14903.3724,108985.5092,27099.3924,205969.0356,193213.0322,185317.764,62491.9138,50343.3052,51799.5059,71093.7022,26304.7617,154609.3378,72830.3807,149640.9885,113791.2909,37344.0937,51626.6139,74219.4915,30422.148,54689.0202,38862.9301,31454.9675,69687.8615,30321.7871,27800.3622,106242.6679,45741.85292,38627.9676,77433.8772,25306.98,64655.1896,61838.8744,20812.0428,23297.9045,59521.5552,37200.1877,79914.5795,14205.6842,46929.2152,17183.353,58438.0128
20070116,83435.4745,269121.5412,306317.1324,128581.8,170279.0338,417781.1356,239982.3661,392841.7505,167862.8662,65226.2757,122311.2063,89651.9029,193023.6079,216776.6136,185022.1572,201357.3066,98948.9863,86649.631,28958.6619,103370.7996,82226.7013,151879.3923,42854.5779,17449.09935,85739.1048,68330.7422,97586.5707,91042.8658,15924.9233,14997.8171,108489.1916,27340.9469,205969.0356,192923.0966,187141.1801,62843.4857,50861.0524,52254.7162,71238.275,26181.2265,154388.9047,72458.0584,151870.3891,113674.1011,36645.9946,52255.9669,75095.039,30509.5151,55121.8822,38537.6629,31115.9955,69585.0654,30427.0449,29175.4338,106488.9801,46459.30004,38761.6945,77679.4554,25438.1511,64765.5912,62748.2696,20756.1766,23373.221,59838.3999,37249.1783,80386.9386,14306.9123,47294.1273,17463.1683,58585.286
20070117,81677.8804,267254.3477,305727.3048,121316.64,163841.9519,422622.1009,239443.4835,391501.6973,167650.1286,64763.5608,122446.2449,90791.9849,193888.8613,215900.2427,185646.0903,200898.8238,98782.2106,86408.384,29220.0943,104588.6692,82226.7013,154386.3724,43225.549,17460.41157,86240.7077,69146.5964,97716.8309,91042.8658,15603.6237,15186.7065,107671.7272,27393.7869,207109.7872,193879.8839,185632.1461,62861.0643,50556.4952,51842.4502,71346.7047,26749.4884,152245.8049,72913.119,150665.3077,113908.4807,37016.0712,52845.9854,74960.3394,30527.9082,55480.5393,38973.521,31254.8515,70241.3791,30261.6397,29468.9274,106735.2924,46652.45888,38924.0772,79122.2273,25637.1694,65056.65,62506.5316,20610.9243,23335.5627,59804.4523,37183.8575,80515.7639,14717.2238,46792.3732,17496.8809,58106.6481
