"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
20070103,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070104,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070105,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070108,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070109,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070110,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070111,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070112,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070116,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070117,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070118,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070119,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070122,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070123,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070124,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070125,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070126,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070129,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070130,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070131,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070201,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070202,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070205,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070206,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070207,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070208,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070209,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070212,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070213,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070214,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070215,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070216,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070220,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070221,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
20070222,11,24,61,49,23,36,13,41,52,75,102,68,71,12,9,99,87,64,46,27,47,22,82,42,10,77,59,89,7,39,97,80,74,51,6,96,55,81,8,29,44,101,50,85,67,18,95,43,57,20,19,84,14,63,70,32,86,2,28,94,58,21,31,33,48,93,56,60,16,1
